,제목,장소명,장소설명,주소
687,그 해 우리는,주천강 섶다리,8회에서 이 밭의 버려진 농장 옆에서 국연수(김다미)와 함께 다큐멘터리의 일부를 촬영,강원도 영월군 주천면 판운리 479
688,그 해 우리는,라비브북스,"솔이가 연수의 집에 머물렀던 다음날, 솔이는 자신의 길을 가기 전에 연수가 최웅(최우식)을 짝사랑하고 있다고 계속 주장한다. 고민에 빠진 연수는 잠시 발길을 멈춘 채 창에 비친 거울을 거울 삼아 생각에 잠긴 채 이 서점을 향한다.",경기도 고양시 일산동구 무궁화로141번길 16-7
689,그 해 우리는,SBS일산제작센터,톱 아이돌 NJ(노정의)와 김지웅 PD(김성철)가 14회에서 이 건물에서 만난다.,경기도 고양시 일산서구 일현로 111
690,그 해 우리는,카페화홍,김다미가 아르바이트를 했던 카페,경기도 수원시 팔달구 수원천로 369
691,그 해 우리는,화성행궁,2회 웅이와 연수가 연애시절 다퉜던 장소,경기도 수원시 팔달구 정조로 825 
692,그 해 우리는,지동시장 순대타운,최우식이 김다미 할머니의 짐을 들어준 시장,경기도 수원시 팔달구 창룡문로 3
693,그 해 우리는,지동벽화마을,국연수(김다미)가 할머니 강자경(차미경)과 함께 사는 동네다. 하트 벽화 앞에서 말다툼을 벌인 최웅(최우식)은 국연수(김다미)에게 자기 집으로 와줄 의향이 있냐고 묻는다.,경기도 수원시 팔달구 창룡문로 75-5
694,그 해 우리는,행궁파티,이 곳의 외관(정원과 옥상 포함)은 1화에 등장한다.,경기도 수원시 팔달구 화서문로31번길 22
695,그 해 우리는,고인돌공원,최우식과 김다미가 첫 키스한 공원,경기도 오산시 수목원로 449
696,그 해 우리는,의정부미술도서관,15회에서 이 도서관은 크리에이티브 에이전시 RUN의 고객이며 첫 번째 아이디어를 위해  그녀의 팀과 함께 국연수 (김다미)가 여기에 옵니다.,경기도 의정부시 민락로 248
697,그 해 우리는,의정부음악도서관,최우식이 김다미에게 프러포즈한 도서관,경기도 의정부시 장곡로 280
698,그 해 우리는,모쿠슈라,최우식과 노정의가 만나 함께 식사한 레스토랑,경기도 파주시 탄현면 헤이리마을길 54
699,그 해 우리는,롯데백화점 동탄점,연수가 협찬한 매장 주변 홍보 프로젝트에 참여하는 최웅(최우식)은 2회에서 매장 위치를 확인하기 위해 매장을 찾는다.,경기도 화성시 동탄역로 160
700,그 해 우리는,궁평항,8화에서 웅과 연수가 여행간 곳을 회상한 장면,경기도 화성시 서신면 궁평항로 1049-24
701,그 해 우리는,조암터미널,"8회에서 국연수(김다미)와의 여행을 회상하며, 최웅(최우식)이 버스 터미널에 도착하고 출발하던 그 날을 기억한다.",경기도 화성시 우정읍 조암남로 3-3
702,그 해 우리는,소다미술관,최우식이 전시회를 연 미술관,경기도 화성시 효행로707번길 30
703,그 해 우리는,더콘란샵코리아,김다미와 이준혁이 함께 둘러본 생활용품숍,서울특별시 강남구 도곡로 401
704,그 해 우리는,롯데백화점 강남점,초대받은 만찬에 무엇을 입어야 할지 고민하던 최웅(최우식)은 아이돌 NJ(노정의)에게 신발을 사러 이 쇼핑몰에 들르다가 결국 1층 화장품 코너를 빠져나온다.,서울특별시 강남구 도곡로 401
705,그 해 우리는,마포진짜원조최대포본점,"김지웅(김성철)은 11회에서 동료 박동일(조복래), 정채란(전혜원), 임태헌(이승우), 이민경(이선희)과 함께 이 식당에서 회식을 한다.",서울특별시 마포구 마포대로 112-4
706,그 해 우리는,가온문화공원,질투심 많은 국연수(김다미)는 11화에서 이 공원 서쪽 끝에 빨간불에 멈춰 서던 중 아이돌 NJ(노정의)와 함께하는 광고를 보고 자산이 있다는 사실을 인정해야 한다.,서울특별시 마포구 상암동 1594
707,그 해 우리는,카페스콘,이 카페에서 김지웅(김성철)은 국연수(김다미)에게 다큐멘터리 영화 출연을 설득하려 한다.,서울특별시 마포구 성미산로 172 2층
708,그 해 우리는,미라보양과자점,국연수(김다미)의 소개팅이 이 카페에서 틀어진다,서울특별시 마포구 성미산로29길 35-6
709,그 해 우리는,히게쯔라,박진주가 운영하는 이자카야 외관으로 나온 술집,서울특별시 마포구 양화로1길 42
710,그 해 우리는,판자집,12회에서 톱 아이돌 NJ(노정의)와 PD 김지웅(김성철)이 이곳에서 첫사랑의 아픔을 달래며 술잔을 기울였다.,서울특별시 서대문구 연세로2길 29
711,그 해 우리는,롯데월드,1회 회상장면에서 본 최웅(최우식)과 국연수(김다미)는 이 놀이공원에서 다섯 번째 이별을 한다.,서울특별시 송파구 올림픽로 240
712,그 해 우리는,신한금융투자빌딩,9회 회상씬에서 어린 최웅(최우식)이 어릴 적 길을 잃은 곳은 바로 이 건물 옆문이다. ,서울특별시 영등포구 여의대로 70
713,그 해 우리는,서강대교,13화에서 최웅(최우식)과 국연수(김다미)가 데이트를 하며 이 다리를 건넌다.,서울특별시 영등포구 여의도동 서강대교
714,그 해 우리는,오산고등학교,1회에서 최웅(최우식)과 국연수(김다미)가 다니던 고등학교로 이 학교의 일부가 등장한다.,서울특별시 용산구 보광로7길 17
715,그 해 우리는,생활맥주 연신내점,박진주가 방문했던 최우식 아빠가 운영하는 호프집,"서울특별시 은평구 연서로27길 19 1,2층"
716,그 해 우리는,자하주택,14회에서 최웅(최우식)이 국연수(김다미)와 산책을 하는 동안 그녀가 출근하는 버스를 타기 위해 이 주택단지 앞에 학생들을 제지한 학생들은 다큐멘터리에서 자신을 알아보며 웅과 셀카를 부탁했다,서울특별시 종로구 세검정로6길 70
717,그 해 우리는,윤보선길,3화에서 국연수(김다미)는 술에 취한 최웅(최우식)을 업고 이 골목으로 내려온다. 5화에서 최웅과 김지웅(김성철)이 이곳에서 자전거를 탄다. 또한 16화에서 이 골목은 최웅이 국연수에게 처음으로 사랑한다고 말하는 곳으로 이어진다.,서울특별시 종로구 윤보선길
718,그 해 우리는,자하슈퍼,국연수(김다미 분)가 데이트할 때 벚꽃 구경을 함께 가지 않은 것을 만회하기 위해 모은 벚꽃 꽃잎을 최웅(최우식 분)에게 온몸으로 쏟아내며 깜짝 놀라게 하는 곳이 바로 이 식료품점 앞이다.,서울특별시 종로구 자하문로42길 57
719,그 해 우리는,JCC크리에이티브센터,3화에서 크리에이티브 에이전시 런(RUN)이 사무실을 두고 있는 '슈퍼 크리에이티브 센터'로 등장한다.,서울특별시 종로구 창경궁로35길 45
720,그 해 우리는,창덕궁5길,드라마에서 동네 거리로 등장한다.,서울특별시 종로구 창덕궁5길
721,그 해 우리는,중앙고등학교,1회에서 학교 일부가 최웅(최우식)과 국연수( 김다미)의 고등학교로 촬영되었다.,서울특별시 종로구 창덕궁길 164
722,그 해 우리는,서울 평창동 맨션 410-8,6회에서 연수가 이 곳 앞에서 할머니가 걸어서 집으로 돌아오길 기다리던 순간을 회상하는 장면에서 첫 번째로 보여진다. ,서울특별시 종로구 평창7길 89
723,그 해 우리는,트리플 스트리트,최웅(최우식)과 국연수(김다미)는 이 곳에서 저녁 데이트를 한다.,인천광역시 연수구 송도과학로16번길 33-1
724,그 해 우리는,뱅루즈,최우식과 김다미가 스테이크 먹은 카페 겸 레스토랑,인천광역시 연수구 송도과학로16번길 33-3 송도 트리플스트리트 C동 2층 218B호
725,그 해 우리는,매당,1화에서 최웅(최우식)의 부모님이 운영하는 식당으로 나온다.,전라북도 전주시 완산구 은행로 20-4
726,그 해 우리는,은행로,1화에서 최웅(최우식)이 스쿠터를 타고 서울 철물점 앞을 지나던 이 거리를 지나간다.,전라북도 전주시 완산구 은행로 75-2
727,그 해 우리는,전주대학교,최우식과 김다미가 캠퍼스 데이트를 즐긴 대학교,전라북도 전주시 완산구 천잠로 303
728,그 해 우리는,온빛자연휴양림,<그해 우리는> 8회 촬영지,충청남도 논산시 벌곡면 황룡재로 480-113
729,그 해 우리는,보령 청보리밭,8회에서 이 밭의 버려진 농장 옆에서 국연수(김다미)와 함께 다큐멘터리의 일부를 촬영,충청남도 보령시 천북면 하만리 176-6
730,그 해 우리는,천북 보리밭,최우식과 김다미가 키스한 아름다운 청보리밭,충청남도 보령시 천북면 하만리 176-6
731,그 해 우리는,보령 청라 은행마을,삶에 대한 다큐멘터리 촬영을 계속하기 위해 1박 여행을 하던 중 국연수(김다미)와 고등학교 친구이자 PD 김지웅(김성철)은 자전거 여행을 떠나 이 마을로 오게 된다. 그는 이 마을의 은행나무 아래 벤치에서 쉬기 위해 그녀의 자전거 타기를 먼저 촬영합니다. ,충청남도 보령시 청라면 장밭길 62
732,그곳에 두고 온 라일락,화이트블럭,라신혜(정유민 분)가 이 갤러리에서 도슨트로 일하고 있다.,경기도 파주시 탄현면 헤이리마을길 72
733,그남자 오수,한국연협회,오수(씨엔블루 이종현)가 할아버지 오만수(박근형)와 함께 사는 곳이다.,서울특별시 은평구 통일로92길 39-1 NNH빌딩
734,그남자 오수,보뜨,5화에서 오수(씨엔블루 이종현)와 서유리(김소은)이 밤에 이 꽃집을 지나가다가 유리는 길을 멈추고 화분에 스카프를 두른 식물을 돌본다.,서울특별시 종로구 윤보선길 28
735,그냥 사랑하는 사이,임권택영화박물관,하문수(원진아)와 이강두(이준호)가 마지막 데이트를 위해 이 박물관 앞에서 만난다.,부산광역시 해운대구 우동 센텀중앙로 55
736,그녀는 거짓말을 너무 사랑해,앤드트리메타,16회에서 강인우(최민수)와 유현정(박지영)이 전화를 걸어 만나는 곳이다.,서울특별시 강남구 도산대로51길 19
737,그녀는 거짓말을 너무 사랑해,압구정나들목,그래피티 터널은 윤수림(레드벨벳 조이)이 강한결(이현우)을 찾으며 여우야를 부르던 배경 중 하나로 등장했다.,서울특별시 강남구 압구정동 압구정나들목
738,그녀는 거짓말을 너무 사랑해,뚝섬한강공원,1화에서 윤소림(조이)은 이 단지 앞에서 강한결(이현우)에게 첫눈에 반한다. 그녀는 2화에서 그녀의 밴드와 함께 이곳으로 돌아와 그를 다시 만날 수 있기를 희망한다.,서울특별시 광진구 강변북로 139
739,그녀는 거짓말을 너무 사랑해,DMC문화공원,"2회에서 윤소림(조이)이 강한결(이현우)을 따라잡을 때 직접 묻는 말이다. 그는 그녀가 그의 노래의 녹음을 가지고 있다는 사실에만 집중했고 그녀가 단기간에 그것을 삭제하도록 설득할 수 있도록 그녀의 번호를 요청했고 그는 ""첫눈에 사랑을 믿기 때문이다.""라고 답했고, 그래서 그들의 관계는 거짓말로 시작되었다.",서울특별시 마포구 월드컵북로 366
740,그녀는 거짓말을 너무 사랑해,CJ아지트 광흥창,마지막 16회에서 머쉬앤코(Mush & Co.)와 크루드 플레이(Crude Play)의 콘서트가 열리는 곳이다.,서울특별시 마포구 창전로 14
741,그녀는 거짓말을 너무 사랑해,자람푸드,"가상의 '행복한 청과', 윤소림 할머니의 가게로 등장한다.",서울특별시 서대문구 포방터길 52
742,그녀는 거짓말을 너무 사랑해,오산고등학교,Mush&Co가 이 학교를 다닌다.,서울특별시 용산구 보광로7길 17
743,그녀는 거짓말을 너무 사랑해,한강대교,"9, 10회에서 윤수림(박수영)이 머쉬앤코 데뷔 쇼케이스 후 강한결(이현우)을 추격한 뒤 한결이 이 다리 위에서 자신이 좋아한다고 고백한다.",서울특별시 용산구 이촌동 한강대교
744,그녀는 거짓말을 너무 사랑해,롯데몰 은평점,2회에서는 강한결(이현우)과 윤수림(조이)이 이 쇼핑몰에서 만났다,서울특별시 은평구 통일로 1050
745,그녀는 거짓말을 너무 사랑해,마로니에 공원,5회에서 윤수림(조이)이 솔로N뮤직 에이전시에서 강한결(이현우)에게 스카우트 된 기쁜 소식을 전했던 카페 배경.,서울특별시 종로구 대학로 104
746,그녀는 거짓말을 너무 사랑해,JCC크리에이티브센터,3화에서 이곳은 드라마에서 '솔른 음악 스튜디오'로 나타난다.,서울특별시 종로구 창경궁로35길 45
747,그녀는 예뻤다,346커피스토리 (구 커피스토리),드라마에서 황정음과 박서준이 차를 마시던 곳,강원도 강릉시 창해로 348 나동 1-3층
748,그녀는 예뻤다,강문해변,박서준과 황정음이 함께 출장을 간 곳,강원도 강릉시 창해로350번길 5
749,그녀는 예뻤다,베이커리&카페,"황정음, 최시원, 박서준이 맥주를 마시던 곳",강원도 양양군 손양면 선사유적로 678 쏠비치휴양콘도미니엄
750,그녀는 예뻤다,아침고요수목원,최종회 16회에서 김혜진(황정음)과 지성준(박서준)이 이 정원으로 소풍을 왔다.,경기도 가평군 상면 수목원로 432
751,그녀는 예뻤다,두물머리,황정음과 박서준의 키스신 촬영지,경기도 양평군 양서면 두물머리길
752,그녀는 예뻤다,양평 두물머리,"13, 14회에서 소풍을 마친 지성준(박서준)은 이곳에서 김혜진(황정음)에게 영원한 사랑을 고백한다.",경기도 양평군 양서면 양수리
753,그녀는 예뻤다,벽초지수목원,황정음을 위로하려 최시원이 데리고 간 곳,경기도 파주시 광탄면 부흥로 242
754,그녀는 예뻤다,식물감각,드라마에서 황정음과 고준희가 방문한 음식점,경기도 파주시 탄현면 헤이리마을 48-8
755,그녀는 예뻤다,모티프원,최종 16회에서 김선우가 혜진(황정음)과 지성준(박서준)이 함께 이 집으로 이사한다,경기도 파주시 탄현면 헤이리마을길 38-26
756,그녀는 예뻤다,지혜의 숲,김혜진(황정음)이 동화책을 읽고 간 후 지성준(박서준)도 다녀간 곳,경기도 파주시 회동길 145
757,그녀는 예뻤다,대전예술의전당,박서준과 황정음이 성인이 되어 처음 만나는 장소,대전광역시 서구 둔산대로 135
758,그녀는 예뻤다,김포국제공항,"12회에서 김혜진(황정음)이 지성준(박서준)을 데리러 간다. 불행하게도, 그들은 서로를 그리워하고 성준은 떠난다.",서울특별시 강서구 하늘길 112
759,그녀는 예뻤다,서울특별시 보라매병원,지성준(박서준)은 12회에서 쓰러진 뒤 이곳에서 치료를 받는다. 김신혁(최시원)은 그가 쓰러진 소식을 듣자마자 김혜진(황정음)을 이곳으로 데려온다. 그녀는 성준의 방으로 가서 그를 껴안고 그들은 마침내 키스를 한다.,서울특별시 동작구 보라매로5길 20
760,그녀는 예뻤다,상암월드컵파크,16회 마지막 장면에서 지성준(박서준)이 501호 건물을 마주한 길을 아이와 함께 걷는다,서울특별시 마포구 상암산로1길 57
761,그녀는 예뻤다,궁뜰어린이공원,11회에서 김혜진(황정음)이 절친 민하리(고준희)를 찾으러 찾아왔다,서울특별시 서대문구 연희동 123-5
762,그녀는 예뻤다,여의도공원,11화에서 김신혁(최시원)이 이 공원에서 기자와 인터뷰를 하고 있다.,서울특별시 영등포구 여의공원로 68
763,그녀는 예뻤다,원효대교,11화에서 정체를 알게 된 지성준(박서준)이 김혜진(황정음)을 처음 만나는 곳이다.,서울특별시 영등포구 여의도동 원효대교
764,그녀는 예뻤다,이랜드크루즈,"11회에서 지성준(박서준)과 김혜진(황정음)이 마침내 서로를 찾은 후, 성준은 자신이 민하리(고준희)에게 속아왔다는 사실을 알게 된다. 성준은 혜진에게 이 곳 크루즈를 태워준다.",서울특별시 영등포구 여의동로 280
765,그녀는 예뻤다,소월로 계단 3번,11회에서 지성준(박서준)에게 반해 서럽게 운다.,서울특별시 용산구 소월로 168
766,그녀는 예뻤다,북촌 한옥마을,황정음과 최시원이 소원을 빈 계단이 있는 곳,서울특별시 종로구 계동길 37
767,그녀는 예뻤다,북촌로11길,8회에서 함께 보낸 오후 시간 동안 김신혁(최시원)과 김혜진(황정음)은 이 거리를 걷는다.,서울특별시 종로구 북촌로11길 52
768,그녀는 예뻤다,영화루,10회에서 김준우(박유환)와 한슬(신혜선)이 이 식당에서 저녁을 먹고 사귀기로 시작한 곳이다.,서울특별시 종로구 자하문로7길 65
769,그녀는 예뻤다,청운공원,11회에서 김신혁(최시원)은 이 박물관에 속한 시인의 언덕이나 윤동주 언덕을 산책하며 남한을 떠나는 것에 대해 고민한다.,서울특별시 종로구 창의문로 119 청운 공원
770,그녀는 예뻤다,G타워,"이 건물은 혜진이 취업 면접을 보러 오는 1회에서 보듯 지성준(박서준), 김혜진(황정음), 김신혁(최시원)이 일하는 '진성매거진'의 사옥으로 등장한다.",인천광역시 연수구 아트센터대로 175
771,그녀로 꿈꾸는 것,부띠크모나코,2회에서 지은한(남상미)과 한강우(김재원)의 두 번째 만남이 그려졌다,서울특별시 서초구 서초대로 397
772,그녀를 찾아줘,대현문화공원,"5회에서 김정남(김지훈)과 그의 친구(고규필)는 정익수(형원)를 따라 이 거리로 나와 할로윈의 나머지 관중들과 어우러질 수 있도록 분장을 해보자는 생각을 갖고 있다. 이 세 사람은 하영(오하영), 잔(이현재)과 함께 아이스크림을 사기 위해 8화에서 이곳에 온다.",서울특별시 서대문구 대현동 146
773,그녀를 찾아줘,63스퀘어,1회에서 이은비(김소현)와 한이안(남주혁)은 이 건물 밖 공원에서 솜사탕을 산다.,서울특별시 영등포구 63로 50
774,그녀를 찾아줘,한강 공원 여의도 지구,1화에서 김정남(김지훈)은 익수(형원 of MONSTA X/몬스타엑스)와 조깅을 하며 경쟁을 시도한다.,서울특별시 영등포구 여의동로 290
775,그녀를 찾아줘,한강철교,1회에서 정익수(몬스타엑스 형원)가 조깅을 하고 있을 때 나온다.,서울특별시 용산구 이촌동 한강철교
776,그녀를 찾아줘,이태원역,1화에서 김정남(김지훈)이 이 지하철역을 향해 조깅하는 모습이 나온다.,서울특별시 용산구 이태원로 177
777,그녀의 버킷리스트,춘천역,"차라리(김소혜)와 미경(김우린)은 이 기차역에서 강한솔(나인우), 류하준(빅톤 임세준)을 만나기 시작한다",강원도 춘천시 공지로 591
778,그녀의 버킷리스트,춘천대교,6화 춘천 로드 트립에서 이 다리를 건넌다.,강원도 춘천시 근화동 609
779,그녀의 버킷리스트,큐브엔터테인먼트,2화에서 '브릿지 엔터테인먼트' 건물로 나온다.,서울특별시 성동구 아차산로 83
780,그녀의 버킷리스트,서울 평창동 맨션 410-8,1화에서 차라리(김소혜)의 남자친구 건형(차건)의 집으로 나온다.,서울특별시 종로구 평창7길 89
781,그녀의 사생활,네오위즈,이 건물의 옥상과 외관은 성덕미(박민영)의 옥상 아파트 '별빛 테라스'로 등장한다.,경기도 성남시 분당구 대왕판교로645번길 14
782,그녀의 사생활,양수마을,라이언 골드(김재욱)는 12회에서 강변 산책로에서 성덕미(박민영)에게 한국 이름 해윤재를 이야기한다.,경기도 양평군 양서면 양수리 402-1
783,그녀의 사생활,약천사,마지막 16회에서 성덕미(박민영) 남동생 성덕수 기일에 대가족이 찾아온다.,경기도 파주시 교하로681번길 118
784,그녀의 사생활,양재천,4회에서는 어린이대공원에서 가짜 데이트를 한 후 성덕미(박민영)와 라이언 골드(김재욱)가 시냇물(연인의 정원)을 따라 걷는다.,서울특별시 강남구 대치동 양재천
785,그녀의 사생활,푸르지오 써밋,3회에서 이 건물을 나오면 이미 차시안(ONE/정제원)의 열애설이 사실인지 팬들이 기다리고 있다.,서울특별시 강남구 영동대로 337
786,그녀의 사생활,코티레이킷 가구공방,"8회에서 최다인(홍서영)과 라이언 골드(김재욱), 성덕미(박민영)가 등장한다. ), 나무 테이블을 맞춤 제작합니다. 결국 라이언과 덕미는 식탁에서 스스로 일을 하게 되고, 다인은 함께 일하면서 둘 사이의 불꽃을 알아차린다.",서울특별시 강서구 월정로20길 96
787,그녀의 사생활,서울어린이대공원,4회에서는 이선주(박진주)가 성덕미(박민영)와 라이언 골드(김재욱)의 가짜 커플 사진을 이 공원에서 찍는다.,서울특별시 광진구 능동 18
788,그녀의 사생활,도봉탑유도관,남은기(안보현)의 유도 스튜디오 '최강 유도체육관'입니다.,서울특별시 도봉구 방학로 204 화성빌딩 3층
789,그녀의 사생활,발바닥공원,12화에서 성덕미(박민영)를 향한 마음으로 고군분투하는 남은기(안보현)는 진심 어린 마음으로 엄마 남세윤(박명신)과 함께 이 공원을 찾는다.,서울특별시 도봉구 시루봉로6길 33
790,그녀의 사생활,702 레코딩스튜디오,11/12회에서 차시안(정제원)의 녹음실 모습으로 나온다. 서울로 돌아온 그의 어머니 공은영(이일화)도 등장한다,서울특별시 마포구 동교로18길 40 B1F
791,그녀의 사생활,어울마당로,"6화에서 성덕미(박민영)가 라이언골드(김재욱)에게 욕을 먹은 후 절친 남은기(안보현), 이선주(박진주)와 함께 찾아온다.",서울특별시 마포구 어울마당로
792,그녀의 사생활,경의선숲길공원,마지막 16회에서 라이언 골드(김재욱)와 성덕미(박민영)가 데이트로 이 공원의 이 코너에 온다.,서울특별시 마포구 연남동 연남로 80
793,그녀의 사생활,웨스트브릿지 라이브홀,"6회에서 주혁(유용민)은 이 클럽(이하 'UG 클럽'으로 등장)에서 밴드 쇼케이스를 갖고 성덕미(박 민영), 남은기(안보현), 이선주(박진주)가 그를 응원하러 온다",서울특별시 마포구 와우산로25길 6 웨스트브릿지 지하3층
794,그녀의 사생활,DMC문화공원,"9회에서 이선주(박진주)와 강승민(임지규)이 점심을 먹고 이곳을 산책한다. 그들이 DMC 건물을 향해 달려가는 한 무리의 팬걸들을 보며 선주는 승민을 만났던 때를 회상한다. ""팡걸링이 우리의 관계를 만들었어요,""라고 그녀는 그에게 상기시킵니다.",서울특별시 마포구 월드컵북로 366
795,그녀의 사생활,화수목,"가구 만들기로 바쁜 하루를 보낸 성덕미(박민영 분), 라이언 골드(김재욱 분), 남은기(안보현 분), 최다인(홍서영 분)이 8회에서 이곳에서 저녁을 먹는다. 식당 밖에서 은기는 다인에게 덕미와 라이언이 지금까지 가짜 연애를 했다고 말한다.",서울특별시 마포구 창전로 70
796,그녀의 사생활,곤밥,4회에서 이순주(박진주)가 가족들과 함께 이 식당에서 점심을 먹는 모습을 목격한다,서울특별시 마포구 토정로 105
797,그녀의 사생활,명지대학교 인문캠퍼스,13회에서 성덕미(박민영)가 이 대학 도서관을 찾아온다.,서울특별시 서대문구 거북골로 34
798,그녀의 사생활,서울숲트리마제,성덕미(박민영)는 라이언과 함께 시안을 만나기 위해 이곳에 도착한다.,서울특별시 성동구 왕십리로 16
799,그녀의 사생활,숙성의명가,6회에서 금박물관팀이 회식을 하기 위해 이곳을 찾았다.,서울특별시 성동구 왕십리로 38 홍성빌딩 6층
800,그녀의 사생활,아뜰리에 베르베르,8회에서 라이언 골드(김재욱)가 성덕미에게 고백하기 위해 이곳에서 꽃을 고르는 모습이 그려졌다,서울특별시 성북구 성북로9길 9 디스커버리빌딩 1층
801,그녀의 사생활,소마미술관,시니어 아트 큐레이터 성덕미(박민영)가 일하고 있는 미술관,서울특별시 송파구 위례성대로 51
802,그녀의 사생활,서강대교,라이언 골드(김재욱)와 성덕미(박민영)는 5회에서 자신들의 연예인 컬렉션 전시회에 포함시키고 싶은 사진을 소유하고 있는 작가를 방문하고 돌아올 때 이 다리를 건넌다.,서울특별시 영등포구 여의도동 서강대교
803,그녀의 사생활,동작대교,14회에서 남은기(안보현)는 성덕미(박민영)에 대한 우정과 감정이 마음을 짓누르고 있다고 생각하기 위해 이곳에 온다.,서울특별시 용산구 이촌동 동작대교
804,그녀의 사생활,광화문 조선일보,10회에서 라이언 골드(김재욱)에게 서울의 밤 풍경을 보여주고 싶지만 운전면허가 없는 성덕미(박민영)가 그를 이 버스 정류장으로 데려온다.,서울특별시 종로구 세종로 광화문/조선일보 버스 정류장
805,그녀의 사생활,비토가사진관,아티스트 안명섭이 여기에 살고 성덕미(박민영)가 그를 방문한다.,서울특별시 종로구 창덕궁5길 8
806,그녀의 사생활,롯데호텔 서울,1회에서 라이언 골드(김재욱)가 귀국 후 이 호텔의 로열 스위트룸에 묵는다.,서울특별시 중구 을지로 30
807,그녀의 사생활,중림동약현성당,12회에서 차시안(정재원/원/ONE)의 어머니는 아들을 찾기 전에 기도하러 이 교회에 온다.,서울특별시 중구 청파로 447-1
808,그녀의 사생활,가톨릭관동대학교 국제성모병원,4회에서 성덕미(박민영)의 할머니가 치료를 받고 덕미가 남은기(안보현)와 함께 그녀를 방문한다.,인천광역시 서구 심곡로100번길 25
809,그녀의 사생활,송도고등학교,성덕미(박민영)와 남은기(안보현)의 고등학교로 등장한다.,인천광역시 연수구 독배로 91
810,그녀의 사생활,스퀘어원,7회에서 성덕미(박민영)와 신디(김보라)가 차시안(ONE/전제원) 팬사인회에  참석할 기회를 갖는다.,인천광역시 연수구 청능대로 210
811,그녀의 사생활,인천국제공항,1화에서 뉴욕에서 한국으로 돌아온 차시안(ONE)의 공항사진을 찍기 위해 성덕미(박민영)가 찾아온다.,인천광역시 중구 공항로 272
812,그녀의 사생활,파라다이스시티,1화에서 성덕미(박민영)와 라이언 골드(김재욱)가 참석한 상하이 미술품 경매가 열리는 곳이다.,인천광역시 중구 영종해안남로321번길 186
813,그놈이 그놈이다,한라대학교,7회에서 '세종병원'의 외관으로 보여진다. 김선희(최명길)가 회장으로 있는 곳이기도 하다.,강원도 원주시 흥업면 한라대길 28
814,그놈이 그놈이다,37.5 고양삼송점,웹툰 업계에서 예전 회사로부터 욕을 먹어서 취업이 더 어려워진 것을 한탄한다,경기도 고양시 덕양구 동산1로 35
815,그놈이 그놈이다,수원 화성,서현주(황정음)는 9회에서 이 계단으로 향하다가 그곳에서 자신을 기다리는 황지우(윤현민)를 발견한다.,경기도 수원시 장안구 영화동 320-2
816,그놈이 그놈이다,깜보분식,4회에서 한식집 '이탈리아 밥상'으로 등장한다.,경기도 수원시 팔달구 정조로886번길 26
817,그놈이 그놈이다,응칠교,9회 회상 장면에서 서현주(황정음)는 과거를 회상한다.,경기도 파주시 문발동 응칠교
818,그놈이 그놈이다,플럼라인,정석우 신경정신과 전문의가 근무하는 재담병원 외관으로 보인다.,경기도 파주시 문발로 165
819,그놈이 그놈이다,로케이션 이음 (구 로얄퀘스트),"황지우(윤현민)가 자신과 상담하는 4회와 7회, 서현주(정황음)가 심리치료를 받으러 오는 8회에서 본 것처럼 남성 재담병원 신경정신과 전문의 정석우의 진료실로 나온다",경기도 파주시 탄현면 새오리로286번길 48-70
820,그놈이 그놈이다,카페 종이와 나무,8회에서 웹툰 작가 조미옥(백주희) PD가 웹툰 작가 '유교걸'을 만나러 왔다.,경기도 파주시 회동길 445-1
821,그놈이 그놈이다,합천 영상 테마파크,"전생으로 나오는 1920,30년대와 1970년대 장면을 촬영했다.",경상남도 합천군 용주면 합천호수로 757
822,그놈이 그놈이다,루카511,"1회에서 서현주(황정음)가 이 장소에서 반전으로 '결혼식'을 올렸는데, 부모님은 많이 실망하셨지만 친구들의 응원을 받고 있다.",서울특별시 강남구 도산대로81길 40
823,그놈이 그놈이다,호텔 인나인,"서현주(황정음 분)는 1회에서 당시 남자친구(윤선우 분)의 제안을 받는 모습이 공개됐지만, 2회에서는 거절당한 사실이 드러났다.",서울특별시 강남구 영동대로 618
824,그놈이 그놈이다,더넥센유니버시티,"2화에서 김선희(최명길)가 황지우(윤현민) 대표를 만나러 오고, 서현주(황정음)가 의논하러 오는 장면이 나온다",서울특별시 강서구 마곡중앙로 177
825,그놈이 그놈이다,C156,서현주와 여자친구들은 김선희(최명길)가 보낸 사람이 자신을 염탐하고 있다는 사실을 모른 채 9회에서 황지우(윤현민)와 술을 마시러 온다,서울특별시 광진구 동일로 156
826,그놈이 그놈이다,경희대학교 서울캠퍼스,10화에서 황지우(윤현민 분)는 서현주(황정음 분)를 이곳 도서관으로 불러들여 과거의 삶(각각 강진호와 송민주의 모습으로)을 보여준다.,서울특별시 동대문구 경희대로 26
827,그놈이 그놈이다,성미산로23길,그녀는 땡스오트(땡스오트) 앞에서 하차하고 그도 그녀와 함께 내리자 놀라는 장면이다.,서울특별시 마포구 성미산로23길
828,그놈이 그놈이다,땡스오트 연남,황지우(윤현민)가 멀리서 그들을 지켜보고 있다는 것을 모르고 등장한다.,서울특별시 마포구 성미산로23길 68
829,그놈이 그놈이다,정든집,서현주(황정음)와 박도겸이 술마시며 수다를 나눴다.,서울특별시 마포구 잔다리로 20-13
